CODIGO_LOCACION,HORA,CANTIDAD,SENTIDO,LATITUD,LONGITUD
48Q3CJ00+,31MAR2020:15:00:00,729,Interna,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:15:00:00,447,Egreso,-34.588796,-58.381519999999995
48Q39G00+,31MAR2020:15:00:00,175,Interna,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:15:00:00,1186,Egreso,-34.633299,-58.468593999999996
48Q3CH00+,31MAR2020:15:00:00,35,Egreso,-34.579632000000004,-58.427732999999996
48Q3CH00+,31MAR2020:15:00:00,523,Interna,-34.579632000000004,-58.427732999999996
48Q39J00+,31MAR2020:15:00:00,1670,Interna,-34.60855,-58.372951
48Q39G00+,31MAR2020:15:00:00,1235,Ingreso,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:14:00:00,1535,Egreso,-34.633299,-58.468593999999996
48Q3FG00+,31MAR2020:14:00:00,124,Interna,-34.53698,-58.470968000000006
48Q3CJ00+,31MAR2020:14:00:00,577,Egreso,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:14:00:00,741,Interna,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:14:00:00,543,Ingreso,-34.588796,-58.381519999999995
48Q3CH00+,31MAR2020:14:00:00,600,Interna,-34.579632000000004,-58.427732999999996
48Q3CH00+,31MAR2020:14:00:00,52,Egreso,-34.579632000000004,-58.427732999999996
48Q39J00+,31MAR2020:14:00:00,1765,Interna,-34.60855,-58.372951
48Q39H00+,31MAR2020:14:00:00,1653,Interna,-34.618036,-58.410236
48Q39G00+,31MAR2020:14:00:00,155,Interna,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:14:00:00,1570,Ingreso,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:13:00:00,1534,Egreso,-34.633299,-58.468593999999996
48Q3FG00+,31MAR2020:13:00:00,153,Interna,-34.53698,-58.470968000000006
48Q3CJ00+,31MAR2020:13:00:00,518,Ingreso,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:13:00:00,549,Egreso,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:13:00:00,764,Interna,-34.588796,-58.381519999999995
48Q3CH00+,31MAR2020:13:00:00,597,Interna,-34.579632000000004,-58.427732999999996
48Q3CH00+,31MAR2020:13:00:00,43,Egreso,-34.579632000000004,-58.427732999999996
48Q39J00+,31MAR2020:13:00:00,1759,Interna,-34.60855,-58.372951
48Q39H00+,31MAR2020:13:00:00,1809,Interna,-34.618036,-58.410236
48Q39G00+,31MAR2020:13:00:00,1849,Ingreso,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:13:00:00,210,Interna,-34.633299,-58.468593999999996
48Q3CH00+,31MAR2020:12:00:00,35,Egreso,-34.579632000000004,-58.427732999999996
48Q3FG00+,31MAR2020:12:00:00,100,Interna,-34.53698,-58.470968000000006
48Q3CJ00+,31MAR2020:12:00:00,670,Interna,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:12:00:00,516,Ingreso,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:12:00:00,529,Egreso,-34.588796,-58.381519999999995
48Q3CH00+,31MAR2020:12:00:00,572,Interna,-34.579632000000004,-58.427732999999996
48Q39J00+,31MAR2020:12:00:00,1585,Interna,-34.60855,-58.372951
48Q39H00+,31MAR2020:12:00:00,1450,Interna,-34.618036,-58.410236
48Q39G00+,31MAR2020:12:00:00,1543,Ingreso,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:12:00:00,1335,Egreso,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:12:00:00,235,Interna,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:11:00:00,1368,Ingreso,-34.633299,-58.468593999999996
48Q3FG00+,31MAR2020:11:00:00,82,Interna,-34.53698,-58.470968000000006
48Q3CJ00+,31MAR2020:11:00:00,521,Ingreso,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:11:00:00,538,Egreso,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:11:00:00,794,Interna,-34.588796,-58.381519999999995
48Q3CH00+,31MAR2020:11:00:00,507,Interna,-34.579632000000004,-58.427732999999996
48Q3CH00+,31MAR2020:11:00:00,49,Egreso,-34.579632000000004,-58.427732999999996
48Q39J00+,31MAR2020:11:00:00,1534,Interna,-34.60855,-58.372951
48Q39H00+,31MAR2020:11:00:00,1342,Interna,-34.618036,-58.410236
48Q39G00+,31MAR2020:11:00:00,1165,Egreso,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:11:00:00,202,Interna,-34.633299,-58.468593999999996
48Q39G00+,31MAR2020:10:00:00,209,Interna,-34.633299,-58.468593999999996
48Q3FG00+,31MAR2020:10:00:00,96,Interna,-34.53698,-58.470968000000006
48Q3CJ00+,31MAR2020:10:00:00,469,Ingreso,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:10:00:00,484,Egreso,-34.588796,-58.381519999999995
48Q3CJ00+,31MAR2020:10:00:00,675,Interna,-34.588796,-58.381519999999995
48Q3CH00+,31MAR2020:10:00:00,403,Interna,-34.579632000000004,-58.427732999999996
48Q39G00+,31MAR2020:10:00:00,1347,Ingreso,-34.633299,-58.468593999999996
