año,mes,lluvia_dias,mm
1991,Enero,7.0,190.0
1991,Febrero,6.0,30.5
1991,Marzo,8.0,55.0
1991,Abril,12.0,125.6
1991,Mayo,7.0,68.4
1991,Junio,10.0,119.7
1991,Julio,8.0,89.3
1991,Agosto,7.0,66.4
1991,Septiembre,10.0,85.5
1991,Octubre,10.0,131.7
1991,Noviembre,9.0,92.4
1991,Diciembre,16.0,244.0
1992,Enero,9.0,111.9
1992,Febrero,7.0,36.8
1992,Marzo,9.0,116.0
1992,Abril,9.0,110.0
1992,Mayo,9.0,189.5
1992,Junio,16.0,98.9
1992,Julio,9.0,46.5
1992,Agosto,5.0,77.8
1992,Septiembre,8.0,67.9
1992,Octubre,10.0,135.7
1992,Noviembre,10.0,89.1
1992,Diciembre,9.0,138.9
1993,Enero,6.0,122.5
1993,Febrero,9.0,135.2
1993,Marzo,5.0,98.5
1993,Abril,13.0,200.4
1993,Mayo,11.0,109.7
1993,Junio,7.0,132.5
1993,Julio,8.0,39.1
1993,Agosto,7.0,50.5
1993,Septiembre,10.0,38.8
1993,Octubre,14.0,170.3
1993,Noviembre,14.0,215.8
1993,Diciembre,10.0,147.4
1994,Enero,10.0,73.3
1994,Febrero,4.0,50.1
1994,Marzo,11.0,134.5
1994,Abril,11.0,209.9
1994,Mayo,10.0,101.7
1994,Junio,14.0,51.9
1994,Julio,10.0,73.7
1994,Agosto,5.0,39.4
1994,Septiembre,7.0,24.2
1994,Octubre,17.0,127.1
1994,Noviembre,5.0,27.2
1994,Diciembre,8.0,124.1
1995,Enero,5.0,49.3
1995,Febrero,13.0,70.8
1995,Marzo,12.0,151.5
1995,Abril,11.0,171.1
1995,Mayo,4.0,18.2
1995,Junio,6.0,27.3
1995,Julio,10.0,28.7
1995,Agosto,8.0,4.3
1995,Septiembre,7.0,31.9
1995,Octubre,13.0,118.8
1995,Noviembre,8.0,118.5
1995,Diciembre,7.0,74.8
1996,Enero,10.0,48.8
1996,Febrero,8.0,105.0
1996,Marzo,4.0,25.5
