año,mes,temp_media,temp_max_media,temp_min_media
1991,Enero,24.0,28.4,19.8
1991,Febrero,22.9,27.8,17.8
1991,Marzo,22.7,27.6,18.4
1991,Abril,17.8,22.4,13.6
1991,Mayo,16.0,20.7,12.2
1991,Junio,11.0,14.8,7.6
1991,Julio,10.5,14.8,6.7
1991,Agosto,13.2,17.1,9.3
1991,Septiembre,15.8,20.5,11.7
1991,Octubre,16.6,21.1,12.2
1991,Noviembre,19.7,24.3,15.3
1991,Diciembre,23.0,27.8,18.7
1992,Enero,23.9,28.5,19.8
1992,Febrero,24.2,29.0,19.8
1992,Marzo,22.9,27.4,18.9
1992,Abril,17.2,21.9,13.2
1992,Mayo,14.0,18.5,10.1
1992,Junio,13.2,16.6,10.3
1992,Julio,8.6,12.6,5.3
1992,Agosto,12.6,17.8,8.5
1992,Septiembre,14.5,19.1,10.3
1992,Octubre,18.2,23.6,12.9
1992,Noviembre,18.3,23.4,14.0
1992,Diciembre,23.3,27.7,18.7
1993,Enero,25.7,30.7,21.2
1993,Febrero,22.9,27.0,19.0
1993,Marzo,23.1,28.0,18.8
1993,Abril,18.5,23.2,14.6
1993,Mayo,14.1,18.4,10.7
1993,Junio,11.7,15.5,8.5
1993,Julio,9.5,13.7,6.2
1993,Agosto,12.7,18.2,8.0
1993,Septiembre,13.6,18.3,9.4
1993,Octubre,17.8,20.9,14.2
1993,Noviembre,20.1,23.6,15.8
1993,Diciembre,22.7,25.8,18.2
1994,Enero,23.5,28.4,18.7
1994,Febrero,23.8,28.9,19.3
1994,Marzo,21.7,26.6,17.6
1994,Abril,17.4,22.3,13.2
1994,Mayo,15.9,20.2,12.5
1994,Junio,12.8,16.6,9.6
1994,Julio,10.9,15.3,7.5
1994,Agosto,12.6,17.0,8.8
1994,Septiembre,15.6,20.3,11.7
1994,Octubre,17.4,21.6,13.3
1994,Noviembre,22.0,26.9,17.1
1994,Diciembre,25.5,30.7,20.5
1995,Enero,24.3,29.4,19.5
1995,Febrero,22.8,28.4,18.4
1995,Marzo,21.9,27.4,17.3
1995,Abril,17.7,23.3,13.5
1995,Mayo,14.5,19.5,10.8
1995,Junio,11.1,15.7,7.2
1995,Julio,10.7,15.4,7.0
1995,Agosto,11.0,16.9,7.8
1995,Septiembre,15.6,19.9,11.1
1995,Octubre,17.3,22.3,12.6
1995,Noviembre,21.6,26.4,17.0
1995,Diciembre,24.4,30.1,19.3
1996,Enero,24.8,30.1,19.9
1996,Febrero,23.6,28.9,19.1
1996,Marzo,23.4,28.5,18.8
1996,Abril,18.7,22.8,14.8
1996,Mayo,15.1,20.5,10.8
1996,Junio,10.2,15.0,5.6
1996,Julio,10.0,14.6,5.9
1996,Agosto,14.9,20.3,10.3
1996,Septiembre,14.1,18.5,9.6
1996,Octubre,18.5,23.1,14.2
1996,Noviembre,21.8,26.9,17.1
1996,Diciembre,24.5,29.6,20.0
1997,Enero,26.5,31.5,21.7
1997,Febrero,23.1,28.4,18.6
1997,Marzo,22.4,27.7,17.9
1997,Abril,19.7,25.4,15.2
1997,Mayo,16.6,21.5,12.5
1997,Junio,12.1,15.9,9.0
1997,Julio,13.3,17.8,10.5
1997,Agosto,14.4,19.3,10.5
1997,Septiembre,14.5,19.3,10.0
1997,Octubre,17.6,21.7,13.5
1997,Noviembre,20.1,24.6,15.9
1997,Diciembre,21.7,26.7,17.6
1998,Enero,23.2,27.2,18.3
1998,Febrero,21.9,26.2,17.5
1998,Marzo,20.8,25.6,16.2
1998,Abril,18.0,22.0,14.6
1998,Mayo,15.3,19.5,11.6
1998,Junio,12.1,16.4,8.2
1998,Julio,13.0,16.6,9.3
1998,Agosto,12.8,17.2,7.8
1998,Septiembre,14.1,18.6,8.7
1998,Octubre,18.9,23.5,13.6
1998,Noviembre,20.7,24.7,15.5
1998,Diciembre,23.2,28.4,17.6
1999,Enero,22.7,27.4,18.1
1999,Febrero,23.3,27.9,18.8
1999,Marzo,22.7,27.2,18.7
1999,Abril,16.4,20.7,12.6
1999,Mayo,14.4,19.1,10.3
1999,Junio,11.5,15.2,8.1
1999,Julio,10.9,15.2,7.3
1999,Agosto,13.3,18.5,8.6
1999,Septiembre,15.6,19.8,11.4
1999,Octubre,17.7,22.2,13.6
1999,Noviembre,20.5,25.8,15.7
1999,Diciembre,23.7,29.8,18.2
2000,Enero,25.6,30.5,21.2
2000,Febrero,24.2,29.2,20.2
2000,Marzo,21.5,26.5,17.4
2000,Abril,18.4,23.3,14.7
2000,Mayo,14.2,17.5,11.0
2000,Junio,12.9,16.0,10.1
2000,Julio,9.0,13.0,5.9
2000,Agosto,12.1,16.7,8.1
2000,Septiembre,14.4,18.7,10.2
2000,Octubre,17.4,21.3,13.9
2000,Noviembre,19.4,24.0,14.9
2000,Diciembre,23.3,28.8,17.9
2001,Enero,25.4,30.2,20.9
2001,Febrero,25.5,29.9,20.0
2001,Marzo,22.8,26.9,19.0
2001,Abril,18.0,23.1,13.6
2001,Mayo,14.1,17.6,10.1
2001,Junio,12.7,16.7,8.7
2001,Julio,11.4,15.3,7.0
2001,Agosto,15.2,19.4,11.1
2001,Septiembre,14.7,18.7,10.7
2001,Octubre,17.8,21.3,14.6
2001,Noviembre,20.0,24.7,15.7
2001,Diciembre,22.6,27.8,18.0
2002,Enero,24.4,29.6,19.6
2002,Febrero,22.9,28.3,18.3
2002,Marzo,21.7,25.9,18.2
2002,Abril,17.0,21.6,13.0
2002,Mayo,16.2,20.8,12.4
2002,Junio,10.7,15.4,6.3
2002,Julio,11.0,15.3,7.4
2002,Agosto,13.8,18.8,10.0
2002,Septiembre,14.6,19.3,10.5
2002,Octubre,19.2,24.1,14.9
2002,Noviembre,21.3,26.5,16.5
2002,Diciembre,22.6,27.3,18.2
2003,Enero,25.2,30.7,20.1
2003,Febrero,22.8,28.5,18.4
2003,Marzo,22.2,27.0,18.1
2003,Abril,17.2,22.0,13.1
2003,Mayo,14.9,19.5,11.2
2003,Junio,12.6,16.8,9.1
2003,Julio,10.7,15.9,6.4
2003,Agosto,11.6,16.5,7.5
2003,Septiembre,14.3,19.2,9.8
2003,Octubre,18.8,24.1,13.9
2003,Noviembre,20.1,25.3,15.5
2003,Diciembre,21.8,27.2,16.3
2004,Enero,25.0,30.4,19.8
2004,Febrero,22.7,28.1,18.4
2004,Marzo,23.1,28.5,18.6
2004,Abril,19.4,24.7,15.3
2004,Mayo,12.9,17.6,9.1
2004,Junio,12.8,17.3,9.7
2004,Julio,11.6,16.4,8.1
2004,Agosto,13.4,17.9,9.7
2004,Septiembre,15.5,21.2,10.9
2004,Octubre,17.2,22.5,12.4
2004,Noviembre,19.6,24.1,15.3
2004,Diciembre,23.5,28.2,18.5
2005,Enero,25.3,31.2,20.3
2005,Febrero,23.7,28.5,19.9
2005,Marzo,21.1,26.1,16.7
2005,Abril,16.7,22.6,11.6
2005,Mayo,14.6,19.3,10.3
2005,Junio,13.7,17.7,10.5
2005,Julio,12.1,16.4,8.8
2005,Agosto,12.6,17.2,8.7
2005,Septiembre,13.8,18.6,9.7
2005,Octubre,17.2,22.6,11.6
2005,Noviembre,22.1,28.0,17.1
2005,Diciembre,22.0,28.1,16.5
2006,Enero,24.1,29.2,20.0
2006,Febrero,23.7,28.9,19.4
2006,Marzo,20.3,25.3,15.8
2006,Abril,18.3,23.6,14.4
2006,Mayo,13.2,18.5,9.2
2006,Junio,12.6,16.9,9.3
2006,Julio,13.7,17.8,10.4
2006,Agosto,11.7,16.8,8.0
2006,Septiembre,15.1,20.8,10.5
2006,Octubre,19.4,24.7,14.8
