id_siniestro;numero_total_de_victimas;numero_victimas_leve_siniestro;numero_victimas_grave_siniestro;numero_victimas_mortal_siniestro;fecha_siniestro;anio_siniestro;mes_siniestro;dia_siniestro;hora_siniestro;rango_horario;direccion_normalizada_siniestro;comuna_siniestro;tipo_de_via_siniestro;geocodificacion_plana;longitud_siniestro;latitud_siniestro;participantes_siniestro;modo_desplazamiento_victima;contraparte_siniestro;gravedad_siniestro
LC-2019-0000445;3;3;0;0;2019-01-01;2019;1;1;13:40:00;13;;Comuna 11;;POINT (94371.44237885093025398 102884.1936510540836025);-58.524662;-34.603255;AUTO-AUTO;AUTO;AUTO;LEVE
LC-2019-0000194;1;1;0;0;2019-01-01;2019;1;1;07:15:00;7;;Comuna 9;;POINT (94030.76669932194636203 97681.07176124800753314);-58.528413;-34.650156;AUTO-CAMION;AUTO;CAMION;LEVE
LC-2019-0000329;1;1;0;0;2019-01-01;2019;1;1;12:24:00;12;;Comuna 4;;POINT (105367.86665769023238681 97877.75085908087203279);-58.404748;-34.648387;AUTO-MOVIL;AUTO;MOVIL;LEVE
LC-2019-0000082;4;4;0;0;2019-01-01;2019;1;1;04:30:00;4;;Comuna 3;;POINT (105968.98286849579017144 102737.17346866782463621);-58.398225;-34.604579;AUTO-TRANSPORTE PUBLICO;AUTO;TRANSPORTE PUBLICO;LEVE
LC-2019-0000053;1;1;0;0;2019-01-01;2019;1;1;01:55:00;1;;Comuna 8;AUTOPISTA;POINT (101813.84712503915943671 95578.55507230378862005);-58.44351;-34.669125;AUTO-UTILITARIO;AUTO;UTILITARIO;LEVE
LC-2019-0000179;1;1;0;0;2019-01-01;2019;1;1;09:00:00;9;;Comuna 14;;POINT (104991.46333918849995825 107720.96647481426771265);-58.408911;-34.559658;BICICLETA-AUTO;BICICLETA;AUTO;LEVE
LC-2019-0000647;1;0;1;0;2019-01-01;2019;1;1;18:50:00;18;DE LOS CONSTITUYENTES AV. y HABANA;Comuna 12;AVENIDA;POINT (97510.27137648081406951 105087.83369881813996471);-58.490436;-34.583403;MOTO-AUTO;MOTO;AUTO;GRAVE
LC-2019-0000142;1;1;0;0;2019-01-01;2019;1;1;07:30:00;7;;Comuna 11;;POINT (94879.29147500626277179 104434.56166003129328601);-58.519116;-34.589282;MOTO-AUTO;MOTO;AUTO;LEVE
LC-2019-0000136;2;2;0;0;2019-01-01;2019;1;1;08:05:00;8;;Comuna 15;;POINT (102193.35632690557395108 104565.99669987679226324);-58.439392;-34.588108;MOTO-AUTO;MOTO;AUTO;LEVE
LC-2019-0000202;1;1;0;0;2019-01-01;2019;1;1;09:36:00;9;;Comuna 1;;POINT (108422.05637924707843922 103418.96326199280156288);-58.371488;-34.598416;MOTO-AUTO;MOTO;AUTO;LEVE
LC-2019-0000636;1;1;0;0;2019-01-01;2019;1;1;18:30:00;18;;Comuna 9;;POINT (96112.35969928668055218 97204.40092204499524087);-58.505709;-34.654463;MOTO-AUTO;MOTO;AUTO;LEVE
LC-2019-0000686;1;1;0;0;2019-01-01;2019;1;1;21:46:00;21;;Comuna 9;;POINT (95507.34324682946316898 96444.88822751649422571);-58.512313;-34.661307;MOTO-AUTO;MOTO;AUTO;LEVE
LC-2019-0000347;1;1;0;0;2019-01-01;2019;1;1;12:02:00;12;;Comuna 7;;POINT (101941.23269930288370233 97755.83807521616108716);-58.442125;-34.649498;PEATON-AUTO;PEATON;AUTO;LEVE
LC-2019-0000079;1;1;0;0;2019-01-01;2019;1;1;02:30:00;2;;Comuna 7;;POINT (102372.16830963784013875 97994.13750300348328892);-58.437425;-34.647349;PEATON-MOTO;PEATON;MOTO;LEVE
LC-2019-0000600;1;1;0;0;2019-01-01;2019;1;1;19:46:00;19;;Comuna 1;;POINT (108178.21037640585564077 104229.88091071296366863);-58.374154;-34.591108;PEATON-TRANSPORTE PUBLICO;PEATON;TRANSPORTE PUBLICO;LEVE
LC-2019-0000063;1;1;0;0;2019-01-01;2019;1;1;02:00:00;2;;Comuna 8;;POINT (99538.58660300650808495 94643.41871799012005795);-58.468335;-34.677556;SD-SD;SD;SD;LEVE
LC-2019-0005235;1;1;0;0;2019-01-01;2019;1;1;03:00:00;3;;Comuna 2;;POINT (105894.85087721658055671 103435.43499357998371124);-58.399038;-34.598285;SD-SD;SD;SD;LEVE
LC-2019-0000493;1;1;0;0;2019-01-01;2019;1;1;13:00:00;13;;Comuna 4;;POINT (107990.5430307903297944 97534.858432368026115);-58.376137;-34.651461;TAXI-TRANSPORTE PUBLICO;TAXI;TRANSPORTE PUBLICO;LEVE
LC-2019-0002083;1;1;0;0;2019-01-02;2019;1;2;05:15:00;5;;Comuna 13;;POINT (98968.57749428524402902 110082.63518594211200252);-58.474535;-34.53838;AUTO-AUTO;AUTO;AUTO;LEVE
