id_siniestro;fecha_siniestro;anio_siniestro;modo_desplazamiento_victima;sexo_victima;edad_victima;GRAVEdad_victima;rol_victima;fecha_fallecimiento_victima
LC-2019-0000647;2019-01-01;2019;MOTO;M;54;GRAVE;SD;
LC-2019-0000600;2019-01-01;2019;SD;F;1;LEVE;SD;
LC-2019-0000136;2019-01-01;2019;SD;F;21;LEVE;SD;
LC-2019-0000082;2019-01-01;2019;SD;F;32;LEVE;SD;
LC-2019-0000194;2019-01-01;2019;SD;F;33;LEVE;SD;
LC-2019-0000445;2019-01-01;2019;SD;F;42;LEVE;SD;
LC-2019-0000082;2019-01-01;2019;SD;F;45;LEVE;SD;
LC-2019-0000636;2019-01-01;2019;SD;F;62;LEVE;SD;
LC-2019-0000686;2019-01-01;2019;SD;F;67;LEVE;SD;
LC-2019-0005235;2019-01-01;2019;SD;F;75;LEVE;SD;
LC-2019-0000136;2019-01-01;2019;SD;M;21;LEVE;SD;
LC-2019-0000329;2019-01-01;2019;SD;M;23;LEVE;SD;
LC-2019-0000202;2019-01-01;2019;SD;M;25;LEVE;SD;
LC-2019-0000082;2019-01-01;2019;SD;M;27;LEVE;SD;
LC-2019-0000142;2019-01-01;2019;SD;M;37;LEVE;SD;
LC-2019-0000445;2019-01-01;2019;SD;M;37;LEVE;SD;
LC-2019-0000445;2019-01-01;2019;SD;M;42;LEVE;SD;
LC-2019-0000082;2019-01-01;2019;SD;M;45;LEVE;SD;
LC-2019-0000493;2019-01-01;2019;SD;M;53;LEVE;SD;
LC-2019-0000053;2019-01-01;2019;SD;M;57;LEVE;SD;
LC-2019-0000079;2019-01-01;2019;SD;M;SD;LEVE;SD;
LC-2019-0000347;2019-01-01;2019;SD;M;SD;LEVE;SD;
LC-2019-0000063;2019-01-01;2019;SD;SD;SD;LEVE;SD;
LC-2019-0000179;2019-01-01;2019;SD;SD;SD;LEVE;SD;
LC-2019-0002208;2019-01-02;2019;MOTO;M;34;GRAVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;F;3;LEVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;F;27;LEVE;SD;
LC-2019-0003220;2019-01-02;2019;SD;F;28;LEVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;F;33;LEVE;SD;
LC-2019-0000928;2019-01-02;2019;SD;F;40;LEVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;F;48;LEVE;SD;
LC-2019-0001754;2019-01-02;2019;SD;F;49;LEVE;SD;
LC-2019-0002083;2019-01-02;2019;SD;M;27;LEVE;SD;
LC-2019-0003220;2019-01-02;2019;SD;M;28;LEVE;SD;
LC-2019-0001992;2019-01-02;2019;SD;M;34;LEVE;SD;
LC-2019-0002740;2019-01-02;2019;SD;M;44;LEVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;M;48;LEVE;SD;
LC-2019-0001987;2019-01-02;2019;SD;M;50;LEVE;SD;
LC-2019-0020183;2019-01-02;2019;SD;M;50;LEVE;SD;
LC-2019-0002218;2019-01-02;2019;SD;M;52;LEVE;SD;
LC-2019-0005610;2019-01-02;2019;SD;M;59;LEVE;SD;
LC-2019-0022496;2019-01-02;2019;SD;M;73;LEVE;SD;
LC-2019-0001948;2019-01-02;2019;SD;M;SD;LEVE;SD;
LC-2019-0001879;2019-01-02;2019;SD;SD;SD;LEVE;SD;
LC-2019-0003340;2019-01-02;2019;SD;SD;SD;LEVE;SD;
LC-2019-0005638;2019-01-03;2019;SD;F;36;LEVE;SD;
LC-2019-0003862;2019-01-03;2019;SD;F;37;LEVE;SD;
LC-2019-0004442;2019-01-03;2019;SD;F;38;LEVE;SD;
LC-2019-0004229;2019-01-03;2019;SD;F;43;LEVE;SD;
LC-2019-0005622;2019-01-03;2019;SD;F;64;LEVE;SD;
LC-2019-0003884;2019-01-03;2019;SD;F;SD;LEVE;SD;
LC-2019-0004565;2019-01-03;2019;SD;F;SD;LEVE;SD;
LC-2019-0004622;2019-01-03;2019;SD;F;SD;LEVE;SD;
LC-2019-0005681;2019-01-03;2019;SD;F;SD;LEVE;SD;
LC-2019-0004144;2019-01-03;2019;SD;M;16;LEVE;SD;
LC-2019-0005815;2019-01-03;2019;SD;M;22;LEVE;SD;
LC-2019-0005979;2019-01-03;2019;SD;M;26;LEVE;SD;
LC-2019-0003432;2019-01-03;2019;SD;M;27;LEVE;SD;
LC-2019-0004652;2019-01-03;2019;SD;M;28;LEVE;SD;
LC-2019-0005334;2019-01-03;2019;SD;M;33;LEVE;SD;
LC-2019-0005638;2019-01-03;2019;SD;M;36;LEVE;SD;
LC-2019-0003862;2019-01-03;2019;SD;M;37;LEVE;SD;
LC-2019-0004442;2019-01-03;2019;SD;M;38;LEVE;SD;
LC-2019-0005614;2019-01-03;2019;SD;M;43;LEVE;SD;
LC-2019-0003428;2019-01-03;2019;SD;M;45;LEVE;SD;
LC-2019-0004717;2019-01-03;2019;SD;M;45;LEVE;SD;
LC-2019-0005647;2019-01-03;2019;SD;M;45;LEVE;SD;
LC-2019-0003787;2019-01-03;2019;SD;M;48;LEVE;SD;
LC-2019-0003642;2019-01-03;2019;SD;M;51;LEVE;SD;
LC-2019-0004718;2019-01-03;2019;SD;M;51;LEVE;SD;
LC-2019-0005764;2019-01-03;2019;SD;M;84;LEVE;SD;
LC-2019-0004621;2019-01-03;2019;SD;M;SD;LEVE;SD;
LC-2019-0006789;2019-01-04;2019;SD;F;5;LEVE;SD;
LC-2019-0006068;2019-01-04;2019;SD;F;20;LEVE;SD;
LC-2019-0008227;2019-01-04;2019;SD;F;26;LEVE;SD;
LC-2019-0008283;2019-01-04;2019;SD;F;26;LEVE;SD;
LC-2019-0007536;2019-01-04;2019;SD;F;28;LEVE;SD;
LC-2019-0008388;2019-01-04;2019;SD;F;34;LEVE;SD;
LC-2019-0008493;2019-01-04;2019;SD;F;34;LEVE;SD;
LC-2019-0011897;2019-01-04;2019;SD;F;38;LEVE;SD;
LC-2019-0008077;2019-01-04;2019;SD;F;44;LEVE;SD;
LC-2019-0008314;2019-01-04;2019;SD;F;55;LEVE;SD;
LC-2019-0007778;2019-01-04;2019;SD;F;56;LEVE;SD;
LC-2019-0008238;2019-01-04;2019;SD;F;69;LEVE;SD;
LC-2019-0008238;2019-01-04;2019;SD;F;69;LEVE;SD;
LC-2019-0006837;2019-01-04;2019;SD;F;SD;LEVE;SD;
LC-2019-0006857;2019-01-04;2019;SD;F;SD;LEVE;SD;
LC-2019-0008388;2019-01-04;2019;SD;F;SD;LEVE;SD;
LC-2019-0008388;2019-01-04;2019;SD;F;SD;LEVE;SD;
LC-2019-0006068;2019-01-04;2019;SD;M;20;LEVE;SD;
LC-2019-0007660;2019-01-04;2019;SD;M;23;LEVE;SD;
LC-2019-0020135;2019-01-04;2019;SD;M;23;LEVE;SD;
LC-2019-0008283;2019-01-04;2019;SD;M;26;LEVE;SD;
LC-2019-0008566;2019-01-04;2019;SD;M;26;LEVE;SD;
LC-2019-0020930;2019-01-04;2019;SD;M;28;LEVE;SD;
LC-2019-0008467;2019-01-04;2019;SD;M;29;LEVE;SD;
LC-2019-0007021;2019-01-04;2019;SD;M;34;LEVE;SD;
LC-2019-0007701;2019-01-04;2019;SD;M;34;LEVE;SD;
LC-2019-0008565;2019-01-04;2019;SD;M;34;LEVE;SD;
LC-2019-0006638;2019-01-04;2019;SD;M;37;LEVE;SD;
LC-2019-0006638;2019-01-04;2019;SD;M;37;LEVE;SD;
LC-2019-0006547;2019-01-04;2019;SD;M;38;LEVE;SD;
LC-2019-0007294;2019-01-04;2019;SD;M;39;LEVE;SD;
LC-2019-0267364;2019-01-04;2019;SD;M;41;LEVE;SD;
LC-2019-0008367;2019-01-04;2019;SD;M;46;LEVE;SD;
LC-2019-0006659;2019-01-04;2019;SD;M;48;LEVE;SD;
LC-2019-0017883;2019-01-04;2019;SD;M;53;LEVE;SD;
LC-2019-0006306;2019-01-04;2019;SD;M;SD;LEVE;SD;
