FECHA,HORA,AUTOPISTA,BANDA Y/O RAMAL,PK,CONDICIONES METEOROLOGICAS,SUPERFICIE DE LA VIA,LESIONADOS,FALLECIDOS,TIPO DE SINIESTRO,MOTO,LVIANO,BUS,CAMION,AÑO_ARCHIVO
2022-06-01,14,AU 25 DE MAYO,ASCENDENTE,400,BUENO,SECA,0,0,OBSTACULO NO FIJO,1,1,0,0,2022
2022-06-02,7,AU 25 DE MAYO,ASCENDENTE,6400,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-06-02,7,AU ILLIA,ASCENDENTE,2500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,0,0,1,2022
2022-06-02,17,AU FRONDIZI,DESCENDENTE,1500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-06-02,17,AU PERITO MORENO,DESCENDENTE,500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,1,2022
2022-06-03,1,AU PERITO MORENO,DESCENDENTE,100,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-03,12,AU 25 DE MAYO,ASCENDENTE,3800,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,1,2022
2022-06-03,12,AU DELLEPIANE,ASCENDENTE,3200,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,3,0,0,2022
2022-06-03,13,AU DELLEPIANE,ASCENDENTE,100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,4,0,0,2022
2022-06-03,15,AU 25 DE MAYO,ASCENDENTE,4500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,0,2022
2022-06-04,0,AV. LUGONES,DESCENDENTE,5200,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-06-04,1,AU 25 DE MAYO,DESCENDENTE,3900,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
