fecha,tavg,tmin,tmax,prcp
2019-01-01,26.4,23.0,31.0,
2019-01-02,26.8,24.7,31.0,
2019-01-03,21.5,18.0,30.1,
2019-01-04,23.3,18.1,27.2,
2019-01-05,26.0,21.2,29.0,
2019-01-06,25.8,22.0,29.0,
2019-01-07,24.8,21.2,28.5,
2019-01-08,26.7,22.0,30.7,
2019-01-09,27.3,22.3,31.0,
2019-01-10,22.0,18.0,30.3,
2019-01-11,19.4,15.0,24.0,
2019-01-12,23.4,20.5,26.5,
2019-01-13,23.7,21.0,27.0,
2019-01-14,24.0,21.0,27.0,
2019-01-15,23.2,20.0,27.0,
2019-01-16,23.3,19.7,27.0,
2019-01-17,22.4,19.0,28.8,
2019-01-18,18.7,13.5,23.2,
2019-01-19,21.1,16.4,24.0,
2019-01-20,22.0,20.0,24.6,
2019-01-21,24.6,21.0,28.2,
2019-01-22,26.9,22.4,31.0,
2019-01-23,26.0,23.0,31.0,
2019-01-24,25.6,23.0,29.0,
2019-01-25,24.1,22.0,30.4,
2019-01-26,26.0,22.5,29.0,
2019-01-27,26.7,24.7,29.6,
2019-01-28,29.3,26.0,34.0,
2019-01-29,29.8,23.0,34.5,
2019-01-30,26.7,22.2,34.2,
2019-01-31,24.8,20.0,31.6,
2019-02-01,27.8,22.7,32.0,
2019-02-02,24.6,19.0,32.0,
2019-02-03,20.0,15.0,26.0,
2019-02-04,21.9,19.2,24.2,
2019-02-05,23.2,19.8,25.3,
2019-02-06,24.9,22.6,27.1,
2019-02-07,26.2,23.0,29.2,
2019-02-08,27.6,24.5,30.2,
2019-02-09,27.7,23.6,34.5,
2019-02-10,28.6,24.0,34.5,
2019-02-11,24.4,18.0,32.2,
2019-02-12,18.2,13.7,26.0,
2019-02-13,20.0,16.1,22.8,
2019-02-14,20.7,17.0,23.0,
2019-02-15,22.4,17.5,26.0,
2019-02-16,23.6,19.2,27.0,
2019-02-17,25.2,19.1,28.2,
2019-02-18,26.4,23.2,30.0,
2019-02-19,28.9,24.4,34.5,
2019-02-20,30.4,26.0,35.5,
2019-02-21,28.4,24.5,35.0,
2019-02-22,28.1,25.7,31.6,
2019-02-23,24.9,23.5,29.0,33.5
2019-02-24,22.1,19.0,25.9,
2019-02-25,19.2,15.0,23.2,
2019-02-26,18.1,13.5,22.5,
2019-02-27,20.4,14.8,26.7,
2019-02-28,19.9,16.5,26.8,
2019-03-01,23.4,18.5,29.5,
2019-03-02,22.8,18.0,29.9,
2019-03-03,22.1,19.0,25.6,
2019-03-04,22.4,19.5,25.6,
2019-03-05,22.7,20.0,25.6,
2019-03-06,25.2,22.0,29.7,
2019-03-07,26.9,20.5,30.2,
2019-03-08,20.2,17.5,30.5,
2019-03-09,17.1,12.7,23.0,
2019-03-10,20.1,15.1,22.5,
2019-03-11,20.8,18.5,23.2,
2019-03-12,20.6,18.7,23.2,
2019-03-13,20.3,17.6,24.0,
2019-03-14,20.9,16.7,26.6,
2019-03-15,21.9,18.4,26.6,0.0
2019-03-16,23.1,21.4,25.0,
2019-03-17,23.8,22.0,25.6,
2019-03-18,24.9,20.8,29.5,
2019-03-19,18.9,16.6,30.1,
2019-03-20,17.2,13.8,21.0,
2019-03-21,16.4,13.0,25.0,
2019-03-22,18.8,15.5,21.2,
2019-03-23,20.5,17.0,24.5,
2019-03-24,19.6,17.0,24.5,
2019-03-25,16.0,11.5,21.4,
2019-03-26,17.4,13.7,21.2,
2019-03-27,18.6,15.5,21.5,
2019-03-28,20.1,18.2,23.0,
2019-03-29,21.4,19.4,24.2,
2019-03-30,23.6,20.3,27.5,
2019-03-31,23.9,21.5,27.6,
2019-04-01,22.4,21.0,27.2,
2019-04-02,25.1,20.7,31.7,
2019-04-03,21.1,17.5,32.4,
2019-04-04,21.6,18.5,28.7,
2019-04-05,17.6,14.0,28.7,
