fecha,tipo,nombre
2021-01-01,inamovible,Año nuevo
2021-02-15,inamovible,Carnaval
2021-02-16,inamovible,Carnaval
2021-03-24,inamovible,Día Nacional de la Memoria por la Verdad y la Justicia
2021-04-02,inamovible,Viernes Santo
2021-05-01,inamovible,Día del Trabajador
2021-05-24,puente,Feriado Puente Turístico
2021-05-25,inamovible,Día de la Revolución de Mayo
2021-06-20,inamovible,Paso a la Inmortalidad del General Manuel Belgrano
2021-06-21,trasladable,Paso a la Inmortalidad del General Martín Miguel de Güemes (17/06)
2021-07-09,inamovible,Día de la Independencia
2021-08-16,trasladable,Paso a la Inmortalidad del Gral. José de San Martín (17/08)
2021-10-08,puente,Feriado Puente Turístico
2021-10-11,trasladable,Día del Respeto a la Diversidad Cultural (12/10)
2021-11-20,trasladable,Día de la Soberanía Nacional
2021-11-22,puente,Feriado Puente Turístico
2021-12-08,inamovible,Día de la Inmaculada Concepción de María
2021-12-25,inamovible,Navidad
2022-01-01,inamovible,Año nuevo
2022-02-28,inamovible,Carnaval
2022-03-01,inamovible,Carnaval
2022-03-24,inamovible,Día Nacional de la Memoria por la Verdad y la Justicia
2022-04-02,inamovible,Día del Veterano y de los Caídos en la Guerra de Malvinas
2022-04-15,inamovible,Viernes Santo
2022-05-01,inamovible,Día del Trabajador
2022-05-18,inamovible,Censo Nacional
2022-05-25,inamovible,Día de la Revolución de Mayo
2022-06-17,puente,Feriado Puente Turístico
2022-06-20,inamovible,Paso a la Inmortalidad del General Manuel Belgrano
2022-07-09,inamovible,Día de la Independencia
2022-08-15,trasladable,Paso a la Inmortalidad del Gral. José de San Martín
2022-09-02,inamovible,Decreto de Necesidad y Urgencia 573/2022
2022-10-07,puente,Feriado Puente Turístico
2022-10-10,trasladable,Día del Respeto a la Diversidad Cultural
2022-11-20,trasladable,Día de la Soberanía Nacional
2022-11-21,puente,Feriado Puente Turístico
2022-12-08,inamovible,Día de la Inmaculada Concepción de María
2022-12-09,puente,Feriado Puente Turístico
2022-12-20,inamovible,Decreto de Necesidad y Urgencia
2022-12-25,inamovible,Navidad
2023-01-01,inamovible,Año nuevo
2023-02-20,inamovible,Carnaval
2023-02-21,inamovible,Carnaval
2023-03-24,inamovible,Día Nacional de la Memoria por la Verdad y la Justicia
2023-04-02,inamovible,Día del Veterano y de los Caídos en la Guerra de Malvinas
2023-04-07,inamovible,Viernes Santo
2023-05-01,inamovible,Día del Trabajador
2023-05-25,inamovible,Día de la Revolución de Mayo
2023-05-26,puente,Feriado Puente Turístico
2023-06-17,trasladable,Paso a la Inmortalidad del Gral. Don Martín Miguel de Güemes
2023-06-19,puente,Feriado Puente Turístico
2023-06-20,inamovible,Paso a la Inmortalidad del General Manuel Belgrano
2023-07-09,inamovible,Día de la Independencia
2023-08-21,trasladable,Paso a la Inmortalidad del Gral. José de San Martín (17/8)
2023-10-13,puente,Feriado Puente Turístico
2023-10-16,trasladable,Día del Respeto a la Diversidad Cultural (12/10)
2023-11-20,trasladable,Día de la Soberanía Nacional
2023-12-08,inamovible,Día de la Inmaculada Concepción de María
2023-12-25,inamovible,Navidad
2024-01-01,inamovible,Año nuevo
2024-02-12,inamovible,Carnaval
2024-02-13,inamovible,Carnaval
2024-03-24,inamovible,Día Nacional de la Memoria por la Verdad y la Justicia
2024-03-29,inamovible,Viernes Santo
2024-04-01,puente,Feriado puente turístico
2024-04-02,inamovible,Día del Veterano y de los Caídos en la Guerra de Malvinas
2024-05-01,inamovible,Día del Trabajador
2024-05-25,inamovible,Día de la Revolución de Mayo
2024-06-17,trasladable,Paso a la Inmortalidad del General Martín Güemes
2024-06-20,inamovible,Paso a la Inmortalidad del General Manuel Belgrano
2024-06-21,puente,Feriado puente turístico
2024-07-09,inamovible,Día de la Independencia
2024-08-17,trasladable,Paso a la Inmortalidad del Gral. José de San Martín
2024-10-11,puente,Feriado puente turístico
2024-10-12,trasladable,Día del Respeto a la Diversidad Cultural
2024-11-18,trasladable,Día de la Soberanía Nacional
2024-12-08,inamovible,Día de la Inmaculada Concepción de María
2024-12-25,inamovible,Navidad
