año,mes,total,alberti,avellaneda,dellepiane,illia,retiro,sarmiento,salguero,paseo_del_bajo
2014,1,8871393,410717.0,4101063,2586999,1772614,,,,
2014,2,8378835,392208.0,3716772,2336600,1933255,,,,
2014,3,9458624,476013.0,4163158,2673269,2146184,,,,
2014,4,9244539,474369.0,4084013,2577591,2108566,,,,
2014,5,9655685,497265.0,4271068,2716431,2170921,,,,
2014,6,9572969,474656.0,4025198,2573736,2326562,172817.0,,,
2014,7,10042611,489280.0,4218717,2646109,2467344,214734.0,6427.0,,
2014,8,10095257,411063.0,4254658,2635498,2506934,255742.0,31362.0,,
2014,9,10202917,411151.0,4247539,2656570,2577867,265944.0,43846.0,,
2014,10,10797928,436151.0,4450481,2831935,2736773,286440.0,56148.0,,
2014,11,10287062,417350.0,4297539,2614126,2617986,279228.0,60833.0,,
2014,12,10589747,495713.0,4492471,2655401,2589354,289970.0,66838.0,,
2015,1,9183066,429776.0,3877171,2349779,2219686,262385.0,44269.0,,
2015,2,8676542,405753.0,3549790,2224777,2193986,249878.0,52358.0,,
2015,3,9673493,475158.0,3866298,2406869,2568392,283791.0,72985.0,,
2015,4,9805280,468860.0,3898236,2408218,2664419,287467.0,78080.0,,
2015,5,9920292,466119.0,3942180,2491354,2669843,267957.0,82839.0,,
2015,6,9927492,462105.0,3923655,2470997,2709051,277556.0,84128.0,2490.0,
2015,7,10580641,482109.0,4215706,2615469,2888607,280042.0,88933.0,9775.0,
2015,8,10465994,470305.0,4129412,2661210,2847338,258514.0,87231.0,11984.0,
2015,9,10748395,493632.0,4191756,2722400,2962912,268379.0,94338.0,14978.0,
2015,10,11112507,511166.0,4396886,2791255,3020561,274043.0,100682.0,17914.0,
2015,11,10872127,493124.0,4347108,2737237,2913535,262602.0,98029.0,20492.0,
2015,12,11057954,514395.0,4477575,2838389,2858371,253414.0,93239.0,22571.0,
2016,1,9657553,413564.0,3948702,2517367,2463061,231873.0,64546.0,18440.0,
2016,2,9274713,407887.0,3782579,2343960,2436557,213530.0,71700.0,18500.0,
2016,3,10406028,466157.0,4199384,2570311,2822648,235642.0,86431.0,25455.0,
2016,4,10102880,462026.0,4093950,2466260,2740252,221334.0,91081.0,27977.0,
2016,5,10360617,461768.0,4188798,2560453,2808177,229389.0,90448.0,21584.0,
2016,6,9988056,450791.0,4021503,2483592,2722524,219388.0,90258.0,,
2016,7,10355455,470878.0,4198786,2570003,2806178,214067.0,81339.0,14204.0,
2016,8,10863024,491630.0,4334963,2692949,2997238,230276.0,91676.0,24292.0,
2016,9,10800888,487469.0,4317315,2692032,2981779,223741.0,63980.0,34572.0,
2016,10,11019739,491137.0,4413896,2750943,3050647,228852.0,40869.0,43395.0,
2016,11,11112380,501037.0,4450135,2774143,3040420,227036.0,79755.0,39854.0,
2016,12,11322864,533537.0,4599996,2827685,3010758,232501.0,80694.0,37693.0,
2017,1,10033964,451147.0,4095454,2554087,2635539,220448.0,50278.0,27011.0,
2017,2,8827747,407928.0,3580191,2194384,2365842,191377.0,61516.0,26509.0,
2017,3,10238340,494698.0,4183461,2457277,2736674,224858.0,92525.0,48847.0,
2017,4,9759964,462460.0,3964312,2365701,2626137,204479.0,85077.0,51798.0,
2017,5,10270500,480942.0,4206868,2468778,2754683,222503.0,83665.0,53061.0,
2017,6,10191533,481528.0,4156839,2479383,2729830,209426.0,83831.0,50696.0,
2017,7,10410352,485643.0,4232987,2538940,2823610,196668.0,80733.0,51771.0,
2017,8,10815061,499914.0,4408849,2654863,2922247,182811.0,88363.0,58014.0,
2017,9,10770140,493117.0,4390925,2633904,2939809,168525.0,90818.0,53042.0,
2017,10,11242038,514140.0,4513028,2785746,3085379,184016.0,93710.0,66019.0,
2017,11,11270697,518303.0,4543414,2779368,3086771,181937.0,93764.0,67140.0,
2017,12,10994165,499341.0,4530595,2780220,2862906,165683.0,92464.0,62956.0,
2018,1,10021685,444456.0,4124059,2532102,2637435,165042.0,64952.0,53639.0,
2018,2,9200211,418541.0,3688754,2289087,2550242,133151.0,69038.0,51398.0,
2018,3,10814180,504721.0,4290072,2647170,3076841,136378.0,95614.0,63384.0,
2018,4,10133941,469816.0,4069407,2400620,2908363,123723.0,94870.0,67142.0,
2018,5,10514259,491776.0,4211663,2479829,3035990,116182.0,103620.0,75199.0,
2018,6,9922408,470047.0,3999955,2365384,2828326,96162.0,89654.0,72880.0,
2018,7,10200447,475477.0,4108205,2429116,2925202,104662.0,86761.0,71024.0,
2018,8,10691507,502573.0,4293717,2530915,3078835,103404.0,98649.0,83414.0,
2018,9,10014357,470705.0,4014563,2420436,2846732,96571.0,87479.0,77871.0,
2018,10,10933905,508419.0,4392775,2636531,2995681,114675.0,122760.0,163064.0,
2018,11,10242364,473881.0,4179485,2477286,2825505,98328.0,97639.0,90240.0,
2018,12,10453913,503883.0,4309546,2563927,2789711,110264.0,92895.0,83687.0,
2019,1,9254939,421586.0,3832538,2268349,2471982,113367.0,73673.0,73444.0,
2019,2,9017731,415800.0,3631556,2121645,2586159,102535.0,75870.0,84166.0,
2019,3,9973835,460712.0,3972064,2343579,2900851,100069.0,99521.0,97039.0,
2019,4,9773660,458726.0,3910371,2317822,2783832,93807.0,108164.0,100938.0,
2019,5,10503096,477856.0,4149838,2474151,3016594,98247.0,118070.0,104360.0,63980.0
2019,6,10063746,446921.0,3750681,2319452,2879122,79245.0,100802.0,89158.0,398365.0
2019,7,11127209,482428.0,4108795,2528511,3242872,86447.0,102931.0,103607.0,471618.0
2019,8,11253384,484723.0,4174450,2577914,3286083,93894.0,112268.0,86125.0,437927.0
2019,9,11047406,476390.0,4041511,2538395,3194505,88523.0,112566.0,108447.0,487069.0
2019,10,11386471,504063.0,4240939,2435379,3336314,98431.0,121218.0,124872.0,525255.0
2019,11,11445022,492861.0,4193410,2596837,3312072,104738.0,121413.0,128563.0,495128.0
2019,12,11613700,507818.0,4298194,2731635,3187828,110180.0,109988.0,120800.0,547257.0
2020,1,10581277,430888.0,3924869,2521226,2849368,95403.0,86024.0,101143.0,572356.0
2020,2,10226887,416677.0,3747664,2389908,2811920,106457.0,91797.0,100589.0,561875.0
2020,3,7404079,326793.0,2739895,1761833,1952105,81588.0,65628.0,71138.0,405099.0
2020,4,3652227,217329.0,1310620,993733,729644,51546.0,21670.0,21504.0,306181.0
2020,5,4900798,274729.0,1792593,1288824,1043349,54173.0,31568.0,34064.0,381498.0
2020,6,5266194,224091.0,1955719,1251133,1245162,46440.0,41247.0,44799.0,457603.0
2020,7,5383861,210075.0,2051444,1264376,1305332,49016.0,49045.0,48340.0,406233.0
2020,8,6214555,258174.0,2390042,1493055,1481273,39416.0,70562.0,69221.0,412812.0
2020,9,7023769,293654.0,2731068,1729545,1604939,46869.0,71222.0,84695.0,461777.0
2020,10,7988781,337984.0,3106689,1962750,1872951,47624.0,85186.0,101540.0,474057.0
2020,11,8789647,377756.0,3391510,2142765,2154190,49566.0,95457.0,116790.0,461613.0
2020,12,9804849,442221.0,3812845,2450621,2350649,51387.0,104968.0,123128.0,469030.0
2021,1,8781879,377052.0,3413618,2243644,2083519,43971.0,81428.0,103804.0,434843.0
2021,2,8438456,378242.0,3259511,2095013,2051194,43601.0,97512.0,110447.0,402936.0
2021,3,9767077,466741.0,3765577,2293152,2455999,51474.0,116835.0,135434.0,481865.0
2021,4,8282512,388145.0,3151423,1941039,2087371,47750.0,100123.0,115218.0,451443.0
2021,5,7176824,344707.0,2690469,1681219,1800785,46194.0,83741.0,97369.0,432340.0
2021,6,8501733,427647.0,3198359,1966208,2136433,51688.0,103896.0,114174.0,503328.0
2021,7,9786464,492540.0,3673847,2241857,2519768,53239.0,124639.0,138617.0,541957.0
2021,8,10101639,507124.0,3807549,2324371,2616523,55227.0,134307.0,146966.0,509572.0
2021,9,10292771,511817.0,3809580,2351559,2737067,59406.0,136409.0,154339.0,532594.0
2021,10,10826500,541729.0,4030271,2470877,2899632,59807.0,147987.0,161764.0,514433.0
2021,11,11106073,520645.0,4039811,2538723,2989042,65291.0,150305.0,160196.0,642060.0
2021,12,11684739,560803.0,4358174,2704455,3110683,66284.0,159145.0,163599.0,561596.0
2022,1,9223965,427639.0,3393044,2200312,2414585,55754.0,124473.0,96968.0,511190.0
2022,2,9544364,469575.0,3452569,2197586,2582970,79173.0,151430.0,78674.0,532387.0
2022,3,11159759,571594.0,4012728,2517940,3051727,93211.0,182051.0,144267.0,586241.0
