fecha_conteo,ubicacion_conteo,longitud_conteo,latitud_conteo,comuna_conteo,especificacion_via_conteos,sentido_circulacion_conteo,conteo_vehiculos
2024-01-03,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,26667.0
2024-01-10,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,27674.0
2024-01-17,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,26007.0
2024-01-24,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,25205.0
2024-01-31,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,29462.0
2024-02-07,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,32620.0
2024-02-14,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,31230.0
2024-02-21,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,28277.0
2024-02-28,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,28257.0
2024-03-06,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,29773.0
2024-03-13,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,30469.0
2024-03-20,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,28081.0
2024-03-27,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,32124.0
2024-04-03,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,30424.0
2024-04-10,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,24960.0
2024-04-17,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,28947.0
2024-04-24,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,28850.0
2024-05-01,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,23161.0
2024-05-08,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,27685.0
2024-05-15,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,27052.0
2024-05-22,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,26032.0
2024-05-29,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,26680.0
2024-06-05,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,32868.0
2024-06-12,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,33539.0
2024-06-19,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,31559.0
2024-06-26,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,31793.0
2024-07-03,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,30940.0
2024-07-10,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,29883.0
2024-07-17,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,29103.0
2024-07-24,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,28970.0
2024-07-31,ALVAREZ THOMAS AV. 1294,-58.459831,-34.578312,Comuna 13,calle_avenida,oeste,30481.0
2024-01-03,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,9185.0
2024-01-10,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,9121.0
2024-01-17,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,8461.0
2024-01-24,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,8008.0
2024-01-31,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,10731.0
2024-02-07,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,11890.0
2024-02-14,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,9865.0
2024-02-21,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,10228.0
2024-02-28,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,10061.0
2024-03-06,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,10755.0
2024-03-13,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,8806.0
2024-03-20,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,7569.0
2024-03-27,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,11778.0
2024-04-03,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,11438.0
2024-04-10,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,12476.0
2024-04-17,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,11470.0
2024-04-24,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,10780.0
2024-05-01,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,9486.0
2024-05-08,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,11012.0
2024-05-15,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,11140.0
2024-05-22,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,11825.0
2024-05-29,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,11176.0
2024-06-05,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,12696.0
2024-06-12,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,12933.0
2024-06-19,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,13934.0
2024-06-26,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,14057.0
2024-07-03,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,13811.0
2024-07-10,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,13541.0
2024-07-17,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,13541.0
2024-07-24,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,13493.0
2024-07-31,CABILDO AV. 1716,-58.453855,-34.565367,Comuna 13,calle_avenida,sur,13753.0
2024-01-03,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,Carriles Exclusivos,norte,5442.0
2024-01-10,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,Carriles Exclusivos,norte,5180.0
2024-01-17,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,Carriles Exclusivos,norte,5313.0
2024-01-24,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,Carriles Exclusivos,norte,4388.0
2024-01-31,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,Carriles Exclusivos,norte,4730.0
2024-02-07,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,Carriles Exclusivos,norte,5445.0
2024-02-14,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,Carriles Exclusivos,norte,5782.0
2024-02-21,ENTRE RIOS AV. 926,-58.391557,-34.619431,Comuna 1,Carriles Exclusivos,norte,6053.0
